Fascia,Cognome e Nome,Genere,Facoltà,GSD 2024,SSD 2024,SSD 2015,SC 2015,Struttura di afferenza
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ABDULKADER Bisan,F,,13/ECON-07,ECON-07/A,SECS-P/08,13/B2,BUSINESS AND MANAGEMENT
Ordinario,ALCALDE Jose' Luis Peydro',M,,13/ECON-01,ECON-01/A,SECS-P/01,13/A1,Economics and Financial Markets
Ricercatore a t.d. - t.pieno (L. 79/2022),ALONSO Nicole Ashley,F,,13/ECON-08,ECON-08/A,SECS-P/10,13/B3,BUSINESS AND MANAGEMENT
Ricercatore a t.d. - t.pieno (L. 79/2022),ALTIERI Michela,F,,13/ECON-09,ECON-09/A,SECS-P/09,13/B4,ACCOUNTING AND CORPORATE FINANCE
Ordinario,AULETTA Ferruccio,M,,12/GIUR-12,GIUR-12/A,IUS/15,12/F1,GIURISPRUDENZA
Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),BALACHANDRAN NAIR Lakshmi,F,,13/ECON-08,ECON-08/A,SECS-P/10,13/B3,BUSINESS AND MANAGEMENT
Associato,BELLACOSA Maurizio,M,,12/GIUR-14,GIUR-14/A,IUS/17,12/G1,GIURISPRUDENZA
Associato confermato,BENANTI Paolo,M,,11/PHIL-03,PHIL-03/A,M-FIL/03,11/C3,SCIENZE POLITICHE
Ordinario,BENIGNO Pierpaolo,M,,13/ECON-01,ECON-01/A,SECS-P/01,13/A1,Economics and Financial Markets
Associato,BIAGINI Sara,F,,13/STAT-04,STAT-04/A,SECS-S/06,13/D4,"AI, DATA AND DECISION SCIENCES"
Ordinario,BIFULCO Raffaele,M,,12/GIUR-05,GIUR-05/A,IUS/08,12/C1,GIURISPRUDENZA
Ordinario,BOCCARDELLI Paolo,M,,13/ECON-07,ECON-07/A,SECS-P/08,13/B2,BUSINESS AND MANAGEMENT
Ricercatore a t.d. - t.pieno (L. 79/2022),BONDI Alessandro,M,,13/STAT-04,STAT-04/A,SECS-S/06,13/D4,"AI, DATA AND DECISION SCIENCES"
Ricercatore a t.d. - t.pieno (L. 79/2022),BONTADINI Filippo,M,,13/ECON-04,ECON-04/A,SECS-P/06,13/A4,ECONOMICS AND FINANCIAL MARKETS
Associato,BORRI Nicola,M,,13/ECON-09,ECON-09/B,SECS-P/11,13/B4,Accounting and Corporate Finance
Ordinario,BOZZOLAN Saverio,M,,13/ECON-06,ECON-06/A,SECS-P/07,13/B1,Accounting and Corporate Finance
Associato confermato,BROWNLEES Christian-Timothy,M,,13/ECON-05,ECON-05/A,SECS-P/05,13/A5,Economics and Financial Markets
Ricercatore a t.d. - t.pieno (L. 79/2022),BROZZETTI Filiberto,M,,12/GIUR-17,GIUR-17/A,IUS/20,12/H3,GIURISPRUDENZA
Associato,BRUNETTA Federica,F,,13/ECON-07,ECON-07/A,SECS-P/08,13/B2,BUSINESS AND MANAGEMENT
Ricercatore a t.d. - t.pieno (L. 79/2022),BRUNI Elena,F,,13/ECON-08,ECON-08/A,SECS-P/10,13/B3,BUSINESS AND MANAGEMENT
Ordinario,BUSCO Cristiano,M,,13/ECON-06,ECON-06/A,SECS-P/07,13/B1,Accounting and Corporate Finance
Ricercatore a t.d. - t.pieno (L. 79/2022),CALLUSO Cinzia,F,,13/ECON-08,ECON-08/A,SECS-P/10,13/B3,BUSINESS AND MANAGEMENT
Ordinario,CALVANO Emilio,M,,13/ECON-01,ECON-01/A,SECS-P/01,13/A1,Economics and Financial Markets
Ricercatore a t.d. - t.pieno (L. 79/2022),CAPONERA Alessia,F,,13/STAT-01,STAT-01/A,SECS-S/01,13/D1,"AI, DATA AND DECISION SCIENCES"
Ricercatore a t.d. - t.pieno (L. 79/2022),CARLINI Federico Eugenio,M,,13/ECON-05,ECON-05/A,SECS-P/05,13/A5,ECONOMIA E FINANZA
Ordinario,CAROLI Matteo Giuliano,M,,13/ECON-07,ECON-07/A,SECS-P/08,13/B2,BUSINESS AND MANAGEMENT
Ricercatore a t.d. - t.pieno (L. 79/2022),CASTELLANI Lorenzo,M,,14/GSPS-03,GSPS-03/B,SPS/06,14/B2,SCIENZE POLITICHE
Associato,CAVALLARO Maria Elena,F,,14/GSPS-04,GSPS-04/B,SPS/06,14/B2,SCIENZE POLITICHE
